name_of_law_firm ,address,location, no_of_partners,phone,website_url
"Crenshaw, Ware & Martin, PC","150 West Main Street, Suite 1500","Norfolk, Virginia 23510",7,757-623-3000,http://www.cwm-law.com/
"Critchfield Critchfield & Johnston, Ltd.",225 North Market Street,"Wooster, Ohio 44691",22,330-264-4444,http://www.ccj.com/
Crivello Nichols & Hall SC,"710 North Plankinton Avenue, Suite 500","Milwaukee, Wisconsin 53203",33,414-271-7722,https://www.crivellolaw.com/
Croker Huck Kasher DeWitt Anderson & Gonderinger LLC,"2120 S. 72nd Street, Suite 1200","Omaha, Nebraska 68124-6812",10,402-391-6777,http://crokerlaw.com
Cronin Fried Sekiya Kekina & Fairbanks,"841 Bishop Street, Suite 600","Honolulu, Hawaii 96813-3962",5,808-201-9614,http://www.croninfried.com/
Crosbie Gliner Schiffman Southard & Swanson LLP,"12750 High Bluff Drive, Suite 250","San Diego, California 92130",17,858-367-7676,http://cgs3.com
Crosner Legal PC,"9440 Santa Monica Blvd., Ste. 301","Beverly Hills, California 90210",3,855-976-9228,http://www.crosnerlegal.com
Crowe & Dunlevy,324 North Robinson Avenue Suite 100,"Oklahoma City, Oklahoma 73102-7310",86,405-235-7700,http://www.crowedunlevy.com/
Crowell & Moring LLP,1001 Pennsylvania Avenue NW,"Washington, District of Columbia 20004",237,202-624-2500,http://www.crowell.com
Crowley Fleck Law,"Transwestern Plaza II, 490 N. 31st Street, Suite 500","Billings, Montana 59101-2529",85,406-252-3441,http://crowleyfleck.com
Crumiller PC,"16 Court St, Ste 2500","Brooklyn, New York 11241",2,212-390-8480,https://crumiller.com/
"Cruser, Mitchell, Novitz, Sanchez, Gaston & Zimet, LLP","Meridian II Suite 2000, 275 Scientific Drive","Peachtree Corners, Georgia 30092",41,404-881-2622,http://cmlawfirm.com/
CSD Attorneys At Law,1500 Railroad Avenue,"Bellingham, Washington 98225",10,360-671-1796,http://chmelik.com
"Cuddy & Feder, LLP",445 Hamilton Ave 14th Floor,"White Plains, New York 10601",20,914-761-1300,http://www.cuddyfeder.com/
"Cuddy Law Firm, PLLC",5693 South Street Rd.,"Auburn, New York 13021",1,315-370-4020,http://cuddylawfirm.com
"Cuddy & McCarthy, LLP",1701 Old Pecos Trail,"Santa Fe, New Mexico 87505",14,505-988-4476,http://cuddymccarthy.com/
Culhane Meadows Haughian & Walsh PLLC,"100 City View
3330 Cumberland Blvd, Suite 500","Atlanta, Georgia 30339",64,844-285-4263,https://www.culhanemeadows.com/
Cullen and Dykman LLP,"One Battery Park Plaza, 34th Floor","New York, New York 10004",104,212-732-2000,https://www.cullenllp.com/
"Cullen, Carsner, Seerden & Cullen, LLP",119 S Main Street,"Victoria, Texas 77901",,361-573-6318,https://cullenlawfirm.com/
Cullen Collimore Shirley PLLC,"37 Technology Way, Suite 3W2","Nashua, New Hampshire 03060",,603-881 -5500,https://www.cullencollimore.com/
"Cullen, Haskins, Nicholson & Menchetti, P.C.","10 South LaSalle Street, Suite 1250","Chicago, Illinois 60603",,312-332-2545,https://chnm-law.com/
Cull & Hayden PSC,210 Washington Street,"Frankfort, Kentucky 40602",,502-226-4157,https://cullandhaydenpsc.com/
"Culp Elliott & Carpenter, P.L.L.C.","Three Morrocroft Centre, Suite 400
6801 Carnegie Boulevard","Charlotte, North Carolina 28211",12,704-372-6322,http://www.ceclaw.com
Cultiva Law PLLC,"2510 Western Ave, Suite 500","Seattle, Washington 98121",4,206-480-1600,http://cultivalaw.com
Cummings & Lockwood,Six Landmark Square,"Stamford, Connecticut 06901",44,203-327-1700,http://www.cl-law.com/
Cummings & Lockwood LLC,"Stamford, Connecticut '06901",,,203-327-1700,https://www.cl-law.com/
Cummings McClorey Davis & Acho PLC,17436 College Parkway,"Livonia, Michigan 48152",24,734-261-2400,http://cmda-law.com/
Cummins Goodman Denley & Vickers PC,100 S. College Street,"Newberg, Oregon 97132",7,503-476-8200,http://cumminsgoodman.com
Cummins & White LLP,"2424 Southeast Bristol Street, Suite 300","Newport Beach, California 92660",9,949-852-1800,http://www.cumminsandwhite.com/
"Cuneo Gilbert & LaDuca, LLP","4725 Wisconsin Ave, NW
Suite 200","Washington, District of Columbia 20016",10,202-789-3960,https://cuneolaw.com/
"Cunningham Bounds, LLC",1601 DAUPHIN STREET,"Mobile, Alabama 36604",11,251-471-6191,http://www.cunninghambounds.com/
Cunningham Dalman PC,"321 Settlers Road, PO Box 1767","Holland, Michigan 49422-1767",16,616-392-1821,http://www.cunninghamdalman.com/
"Cunningham, Meyer & Vedrine, PC","4200 Cantera Drive, Suite 112","Warrenville, Illinois 60555",22,630-260-8600,http://www.cmvlaw.com/
Cunningham Swaim LLP,"7557 RAMBLER RD.
SUITE 400","Dallas, Texas 75231",11,214-646-1495,http://cunninghamswaim.com
Cuomo LLC,200 Old Country Road Suite 2,"Mineola, New York 11501",2,516-741-3222,http://cuomollc.com
Curcio Mirzaian Sirot LLC,"5 Becker Farm Rd
Suite 406","Roseland, New Jersey 07068",7,973-852-3229,http://cmsllc.law
Currie Johnson & Myers PA,1044 River Oaks Drive,"Jackson, Mississippi 39232",11,601-969-1010,http://www.curriejohnson.com/
"Currier & Trask, P.A.",55 North St,"Presque Isle, Maine 04769",,207-764-4193,https://curriertrask.com/
Curry Roby LLC,"30 Northwoods Blvd., Ste. 300","Columbus, Ohio 43235",5,614-430-8885,https://curryroby.com/
"Curtin & Heefner, LLP","1040 Stony Hill Road, Suite 150","Yardley, Pennsylvania 19067",23,215-736-2521,http://www.curtinheefner.com/
Curtin Law Roberson Dunigan & Salans,1800 Massachusetts Avenue NW Suite 300,"Washington, District of Columbia 20036",7,202-530-3300,http://www.curtin-law.com/
Curtis Heinz Garrett & O Keefe PC,"130 South Bemiston, Suite 200","St. Louis, Missouri 63105-1913",19,314-725-8788,https://chgolaw.com/
"Curtis, Mallet-Prevost, Colt & Mosle LLP",101 Park Avenue,"New York, New York 10178",45,212-696-6000,http://www.curtis.com
Curtis Thaxter LLC,"One Canal Plaza, Suite 1000","Portland, Maine 04101",10,207-774-9000,http://curtisthaxter.com
Cushing & Dolan PC,375 Totten Pond Road Suite 200,"Waltham, Massachusetts 02451-0245",6,617-523-1555,http://www.cushingdolan.com/
Cushing Morris Armbruster & Montgomery,"191 Peachtree Street NE, Suite 4500","Atlanta, Georgia 30303-1740",8,404-521-2323,http://cmamlaw.com
Cutler Law Firm LLP,"140 N. Phillips Ave, 4th Floor","Sioux Falls, South Dakota 57104",14,605-335-4950,http://cutlerlawfirm.com
"Cutler Law Firm, LLP","140 N. Phillips Ave, 4th Floor","Sioux Falls, South Dakota 57104",,605-335-4950,https://cutlerlawfirm.com/
Cutolo Barros LLC,46-50 Throckmorton Street,"Freehold, New Jersey 07728",4,732-414-1170,http://cutolobarros.com
Cuzdey Ehrmann Stine & Sansalone LLC,3775 Mansell Road,"Alpharetta, Georgia 30022",9,404-325-2300,http://www.cewsslaw.com/
"Cypress, LLP",11111 Santa Monica Boulevard Suite 500,"Los Angeles, California 90025",8,424-901-0123,http://cypressllp.com/
Cyruli Shanks & Zizmor LLP,"The Graybar Building                         
420 Lexington Avenue
Suite 2320","New York, New York 10170-1017",6,212-661-6800,https://www.cszlaw.com/
Cyrus D. Mehta & Partners PLLC,9th Floor,"New York, New York 10004",,212-425-0555,https://cyrusmehta.com/
Dady & Gardner PA,"80 South Eighth Street, 5100 IDS Center","Minneapolis, Minnesota 55402",8,612-359-9000,http://www.dadygardner.com/
Dagger Johnston Miller Ogilvie & Hampson LLP,144 E Main St,"Lancaster, Ohio 43130",5,740-653-6464,http://daggerlaw.com
,,,,,
Dahl Family Law Group,1001 East Avenue,"Clermont, Florida 34711",,352-243-4100,https://dahlfamilylaw.com/
Daigle Fisse & Kessenich,227 Hwy 21,"Madisonville, Louisiana 70447-7044",6,985-871-0800,http://daiglefisse.com
Dain Torpy Le Ray Wiest & Garner PC,"745 Atlantic Avenue
5th Floor","Boston, Massachusetts 02111",7,617-542-4800,http://daintorpy.com/
"Dalton & Finegold, LLP",34 Essex Street,"Andover, Massachusetts 01810",19,978-470-8400,http://dfllp.com/
D'Amato Law Firm,"2900 Fire Road, Suite 200","Egg Harbor Township, New Jersey 08234",,609-926-3300,https://damatolawfirm.com/
D Ambrosio Brown LLP,"185 Devonshire Street, 10th Floor","Boston, Massachusetts 02110",2,617-720-5657,http://dambrosiobrown.com
Damian Valori Culmo,"1000 Brickell Avenue, Suite 1020","Miami, Florida 33131",6,305-371-3960,https://www.dvcattorneys.com/
Damian | Valori | Culmo Trial Attorneys LLP,"1000 Brickell Avenue, Suite 1020","Miami, Florida 33131",,305-371-3960,https://www.dvcattorneys.com/
Damon Key Leong Kupchak Hastert,"1003 Bishop Street, Suite 1600, Pauahi Tower","Honolulu, Hawaii 96813",11,808-531-8031,http://hawaiilawyer.com/
Damrell Nelson Schrimp Pallios Pacher & Silva,"1601 I Street, 5th Floor","Modesto, California 95354",4,209-409-3050,http://www.modestolawyers.com/
Danaher Lagnese PC,"21 Oak Street, Suite 700","Hartford, Connecticut 06106",14,860-247-3666,http://www.danaherlagnese.com
D'Andre Law LLP,"10995 Gold Center Drive, Suite 115","Rancho Cordova, California 95670",15,916-364-9390,http://dandrelaw.com
Daniel Coker Horton & Bell PA,"4400 Old Canton Road, Suite 400","Jackson, Mississippi 39211",12,601-969-7607,http://www.danielcoker.com/
Daniels Fine Israel Schonbuch & Lebovits LLP,"1801 Century Park East, 9th Floor","Los Angeles, California 90067",10,310-556-7900,http://dfis-law.com
"Daniels Hines Kalkhoff Cook & Swanson, P.L.C",1205 Technology Parkway,"Cedar Falls, Iowa 50613",,319-260-4471,https://www.duttonfirm.com/
Daniels Norelli Cecere & Tavel PC,272 Duffy Avenue,"Hicksville, New York 11801",6,718-459-6000,http://dnctlaw.com
"Daniels, Porco & Lusardi, LLP",1 Memorial Avenue,"Pawling, New York 12564",,845-855-5900,https://www.dpllawyers.com/
Daniels Rodriguez Berkeley Daniels Cruz,"4000 Ponce De Leon Blvd, Suite 800","Coral Gables, Florida 33146",11,305-448-7988,http://drbdc-law.com
Daniels & Tredennick PLLC,"6363 Woodway
Suite 700","Houston, Texas 77057",13,713-917-0024,http://dtlawyers.com
"Danna McKitrick, P.C.","7701 Forsyth Blvd., Suite 1200","St. Louis, Missouri 63105",11,314-726-1000,http://www.dannamckitrick.com
Dannis Woliver Kelley PC,"275 Battery Street, Suite 1150","San Francisco, California 94111",26,415-543-4111,http://www.dwkesq.com/
"Dant Advocacy, Inc.","143 West Market Street, Suite 500","Indianapolis, Indiana 46204",,317-450-6182,https://www.dantadvocacy.com/
"Danziger & Markhoff, LLP","1133 Westchester Avenue, Suite N208","White Plains, New York 10604",10,914-948-1556,https://danzigermarkhoff.com/
"D Arcambal Ousley & Cuyler Burk, LLP","40 Fulton Street, Suite 1005","New York, New York 10038",6,212-971-3175,http://www.darcambal.com/
Darger Errante Yavitz & Blau LLP,116 East 27th Street at Park Avenue,"New York, New York 10016",8,212-452-5300,http://deybllp.com
Darlene Taylor Marsh,PO Box 59332,"Nashville, Tennessee 37205",,615-417-2985,https://www.darlenemarsh.com/
DarrowEverett LLP,One Turks Head Place Suite 1200,"Providence, Rhode Island 02903-0290",19,401-453-1200,http://www.darroweverett.com/
Darrow Mustafa PC,"410 N. Center Street, Suite 200","Northville, Michigan 48167",4,248-864-5959,http://www.darrowmustafa.com/
Dart Adamson & Donovan,257 East 200 South #1050,"Salt Lake City, Utah 84111",6,801-521-6383,http://dadlaw.net
Daspin & Aument LLP,"300 S. Wacker Drive, Suite 2200","Chicago, Illinois 60606",14,312-258-1600,http://www.daspinaument.com/
Dasti Murphy Mcguckin Ulaky Koutsouris & Connors,620 Lacey Rd,"Lacey Township, New Jersey 08731",7,609-971-1010,http://dmmlawfirm.com
Datsopoulos MacDonald & Lind PC,201 West Main Street Suite 201,"Missoula, Montana 59802",7,406-728-0810,http://dmllaw.com/
Daughtry Woodard Lawrence & Starling,401 College Street,"Clinton, North Carolina 28328",4,910-249-9165,https://www.dwlslaw.com/
"Davenport, Evans, Hurwitz & Smith, LLP",206 West 14th Street P.O. Box 1030,"Sioux Falls, South Dakota 57101-1030",23,605-336-2880,http://dehs.com/
"David F. Vedder, P.A.",1651 N. Clyde Morris Blvd. Suite 2,"Daytona Beach, Florida 32117",,386-675-0872,https://www.theimmigrationfirm.us/
"David J. Sales, P.A.",1857 Morrill Street,"Sarasota, Florida 34236",,941-957-0888,http://salesappeals.com/
David Knight Law,1560 W. Cleveland St.,"Tampa, Florida 33606",,813-784-8056,https://www.davidknightlaw.com/
Davidoff Hutcher & Citron LLP,605 Third Avenue,"New York, New York 10158",29,212-557-7200,http://dhclegal.com/
"Davidow, Davidow, Siegel & Stern, LLP",1050 Old Nichols Road Suite 100,"Islandia, New York 11749",,631-234-3030,https://davidowlaw.com/
"David P. Condon, PC","100 Union Hill Drive, Suite 200","Birmingham, Alabama 35209",,205-871-2133,https://davidcondonlaw.com/
David R. Bires,440 Lousiana Street  Suite 200,"Houston, Texas 77002",,713-526-9575,https://davidrbireslaw.com/
"David Rosen & Associates, PC",400 Orange Street,"New Haven, Connecticut 06511",,203-787-3513,http://www.davidrosenlaw.com/
"Davidson, Davidson & Kappel, LLC","589 Eighth Avenue,
22nd Floor","New York, New York 10018",6,212-736-1940,http://www.ddkpatent.com
Davidson Dawson & Clark LLP,60 East 42nd Street,"New York, New York 10165",10,212-557-7700,http://davidsondawson.com/
Davidson Fink LLP,"400 Meridian Centre Blvd
Suite 200","Rochester, New York 14618",10,585-546-6448,http://www.davidsonfink.com
"Davidson Law Firm, LLC","4206 Corrales Road, P.O. Box 2240","Corrales, New Mexico 87048",,505-792-3636,https://www.tessadavidson.com/
Davidson Meaux Sonnier McElligott Fontenot Gideon and Edwards LLP,810 South Buchanan Street,"Lafayette, Louisiana 70501",9,337-237-1660,http://www.davidsonmeaux.com
Davidson Troilo Ream & Garza,"601 NW Loop 410, Suite 100","San Antonio, Texas 78216",16,210-349-6484,http://www.dtrglaw.com/
David Weiss Law,"11340 W. Olympic Blvd., Suite 100","Los Angeles, California 90064",6,310-575-9566,http://djwlaw.com
"Davies Pearson, P.C.","1498 Pacific Avenue, Suite 520","Tacoma, Washington 98402",6,253-620-1500,http://www.dpearson.com
Davis Agnor Rapaport & Skalny LLC,11000 Broken Land Pkwy Suite 600,"Columbia, Maryland 21044",12,410-309-5800,http://www.darslaw.com/
"Davis and Snyder, P.A.",5 Hawthorne Park Court,"Greenville, South Carolina 29615",,864-335-3500,https://davissnyderlaw.com/
Davis Arneil Law Firm LLP,617 Washington Street,"Wenatchee, Washington 98801-9880",7,509-662-3551,http://davisarneil.com
Davis & Campbell,333 S Wabash Ave Ste 2700,"Chicago, Illinois 60604",6,312-995-7110,http://dcamplaw.com
Davis & Cannon LLP,40 South Main Street,"Sheridan, Wyoming 82801",6,307-672-7491,http://davisandcannon.com
Davis Cedillo & Mendoza Inc,"McCombs Plaza
755 E. Mulberry Avenue
Suite 500","San Antonio, Texas 78212",6,210-822-6666,https://lawdcm.com/
"Davis, Cedillo & Mendoza, Inc.","755 E. Mulberry Ave., Ste 250","San Antonio, Texas 78212",,210-822-6666,https://lawdcm.com/
"Davis & Davis Attorneys At Law, PC",215 North Main Street,"Salisbury, North Carolina 28144",,704-639-1900,https://www.davislawfirmnc.com/
Davis Friedman,135 South LaSalle Street 36th Floor,"Chicago, Illinois 60603-6060",20,312-782-2220,http://davisfriedman.com/
"Davis, Gerald & Cremer, PC","400 WEST ILLINOIS Avenue, SUITE 1400","Midland, Texas 79701-4310",14,432-687-0011,http://www.dgclaw.com/
Davis+Gilbert LLP,1675 Broadway,"New York, New York 10019",73,212-468-4800,http://www.dglaw.com
Davis Graham & Stubbs,"1550 17th Street, Suite 500","Denver, Colorado 80202",66,303-892-9400,http://www.dgslaw.com/
Davis Grass Goldstein & Housouer,"3281 E. Guasti Road, Suite 350","Ontario, California 91761",6,909-476-2662,http://davis-grass.com
"Davis, Hatley, Haffeman & Tighe, P.C.","101 River Drive North Milwaukee Station, 3rd Floor","Great Falls, Montana 59401",,406-761-5243,http://dhhtlaw.com/
Davis Malm & D Agostine PC,"One Boston Place, 37th Floor","Boston, Massachusetts 02108",26,617-367-2500,http://davismalm.com
Davis Miles PLLC,40 E. Rio Salado Parkway Suite 425,"Tempe, Arizona 85281",36,480-733-6800,http://www.davismiles.com/
Davison Eastman Muñoz Paone PA,"100 Willow Brook Rd., Suite 100","Freehold, New Jersey 07728",13,732-462-7170,https://www.respondlaw.com/
"Davison Law, LLC",One Marina Park Drive,"Boston, Massachusetts 02210",,617-345-9990,https://www.davisonlawllc.com/
Davis Pickren Seydel & Sneed LLP,"285 Peachtree Center Ave., Suite 2300","Atlanta, Georgia 30303",10,404-588-0505,http://dpsslegal.com/
Davis Polk & Wardwell LLP,450 Lexington Avenue,"New York, New York 10017",154,212-450-4000,http://www.davispolk.com
Davis Rothwell Earle & Xochihua,"200 Southwest Market Street, Suite 1800","Portland, Oregon 97201",15,503-222-4422,http://www.davisrothwell.com/
Davis & Santos,719 S. Flores Street,"San Antonio, Texas 78204",7,210-853-5882,http://dslawpc.com
Davis Wright Tremaine LLP,"920 Fifth Avenue, Suite 3300","Seattle, Washington 98104-1610",289,206-622-3150,http://dwt.com/
Dawda Mann Mulcahy & Sadler PLC,"39533 Woodward Avenue, Suite 200","Bloomfield Hills, Michigan 48304-5103",26,248-642-3700,http://dawdamann.com/
"Daw & Ray, LLP","5718 Westheimer, Suite 1750","Houston, Texas 77057",14,713-266-3121,http://dawray.com/
Daymon B. Ely Law Offices,1228 Central Avenue S.W.,"Albuquerque, New Mexico 87102",,505-248-0370,https://daymonely.com/
Day Pitney LLP,225 Asylum Street,"Hartford, Connecticut 06103-1212",141,860-275-0100,http://www.daypitney.com
DBL Law,109 East Fourth Street,"Covington, Kentucky 41011",30,859-341-1881,http://www.dbllaw.com/
DDV Law Ltd,"111 N Wabash Ave, Ste. 1300","Chicago, Illinois 60602",2,312-878-0155,http://ddvelderlaw.com
"Deacon, Moulds, & Stofer","100 2nd Ave S, Suite 902","St. Petersburg, Florida 33701",,727-551-0000,https://www.dmslawfirm.com/
Dean & Fulkerson PC,"801 W Big Beaver Road, Suite 650","Troy, Michigan 48084",9,248-362-1300,http://www.dflaw.com/
Dean Gazzo Roistacher LLP,"440 Stevens Avenue, Suite 100","Solana Beach, California 92075",3,858-380-4683,http://deangazzo.com
Dean Mead,"420 S. Orange Avenue, Suite 700","Orlando, Florida 32801",33,407-841-1200,http://www.deanmead.com
Dean Ringers Morgan and Lawton PA,"Capital Plaza I, 201 East Pine Street, Suite 1200","Orlando, Florida 32801",20,407-422-4310,http://drml-law.com/
"Deasey, Mahoney & Valentini, Ltd.",Suite 3400 1601 Market Street,"Philadelphia, Pennsylvania 19103",9,215-587-9400,http://www.dmvlawfirm.com/
de Beaubien Simmons Knight Mantzaris & Neal LLP,332 North Magnolia Avenue,"Orlando, Florida 32801",18,407-422-2454,http://dsklawgroup.com/
Debevoise & Plimpton LLP,66 Hudson Boulevard,"New York, New York 10001",127,212-909-6000,http://www.debevoise.com/
Deborah J. Marx,"1300 Clay Street, Suite 820","Oakland, California 94612",,510-763-5611,https://deborahmarx.com/
Decaro Doran Siciliano Gallagher & Deblasis LLP,"17251 Melford Boulevard, Suite 200","Bowie, Maryland 20715",10,301-352-4950,http://decarodoran.com
De Castroverde Law,"1201 S. Maryland Parkway,","Las Vegas, Nevada 89104",3,702-840-4781,http://decastroverdelaw.com
De Castro West Chodorow Mendler & Glickfeld Inc,"10960 Wilshire Boulevard
Fourteenth Floor","Los Angeles, California 90024-3717",8,310-478-2541,http://dwclaw.com
Dechert LLP,2929 Arch Street,"Philadelphia, Pennsylvania 19104-2808",233,215-994-4000,http://www.dechert.com
Decker Jones,"801 Cherry Street, Suite 2000, Unit #46","Fort Worth, Texas 76102",17,817-336-2400,http://www.deckerjones.com/
"DeConcini McDonald Yetwin & Lacy, P.C.","2525 East Broadway, Suite 200","Tucson, Arizona 85716-5300",14,520-322-5000,http://www.deconcinimcdonald.com/
DeCotiis Fitzpatrick Cole & Giblin LLP,"61 South Paramus Road
Suite 250","Paramus, New Jersey 07652",36,201-928-1100,http://www.decotiislaw.com
DeForest Koscelnik & Berardinelli,"Koppers Building, 30th Floor
436 Seventh Avenue","Pittsburgh, Pennsylvania 15219",3,412-227-3100,https://www.deforestlawfirm.com/
"DeFur Voran, LLP",400 South Walnut Street Suite 200,"Muncie, Indiana 47305-4730",14,765-288-3651,https://defur.com/
Degan Blanchard & Nash PA,"400 Poydras Street, Suite 2600","New Orleans, Louisiana 70130",16,504-529-3333,http://www.degan.com
DeGaris Law,2 20th St N #1030,"Birmingham, Alabama 35203",,205-575-8000,https://degarislaw.com/
DeGuerin & Dickson,"1018 Preston Avenue, 7th Floor","Houston, Texas 77002",,713-223-5959,https://deguerin.com/
"DeHay & Elliston, L.L.P.","Bank of America Plaza Building, 901 Main Street, Suite 3500","Dallas, Texas 75202",23,214-210-2400,http://www.dehay.com
Deiss Law PC,10 West 100 South #700,"Salt Lake City, Utah 84101",,801-433-0226,https://www.deisslaw.com/
"Delaney Wiles, Inc.","1007 West Third Avenue, Suite 300","Anchorage, Alaska 99501",,907-279-3581,https://www.delaneywiles.com/
de la Pena & Holiday LLP,One Embarcadero Center Ste 2860,"San Francisco, California 94111-9411",2,415-268-8000,https://dlphlaw.com/
DelBello Donnellan Weingarten Wise & Wiederkehr LLP,1 North Lexington Avenue,"White Plains, New York 10601-1060",20,914-681-0200,http://ddw-law.com
DelCotto Law Group PLLC,200 North Upper Street,"Lexington, Kentucky 40507",,859-309-4653,https://www.dlgfirm.com/#
"Delegal & Poindexter, P.A.",424 East Monroe Street,"Jacksonville, Florida 32202",,904-633-5000,https://protectingcareers.com/
"De Leon Law, PLLC","2705 Bee Caves Road, Suite 225","Austin, Texas 78746",,512-761-7009,https://bsdlawgroup.com/
,,,,,
Del Gado Law Group LLC,1441 South Harlem Avenue,"Berwyn, Illinois 60402",6,708-222-7000,http://dlglawgroup.com
Dell Moser Lane & Loughney LLC,"Two Chatham Center, Suite 1500
112 Washington Place","Pittsburgh, Pennsylvania 15219",9,412-471-1180,http://dellmoser.com
de Luca Levine,"Three Valley Square, Suite 220","Blue Bell, Pennsylvania 19422",8,215-383-0081,http://delucalevine.com
Delvin Law Firm LLC,1526 Gilpin Ave.,"Wilmington, Delaware 19806",18,302-449-9010,http://devlinlawfirm.com
De Martini & Yi LLP,"69 East Jericho Turnpike, Suite 100","Mineola, New York 11501",3,516-294-1333,http://deyillp.com
Demidchik Law Firm PLLC,136-18 39th Ave. 8th Floor,"Flushing, New York 11354",5,718-255-9898,http://demidchiklawfirm.com
Deming Parker Hoffman Campbell & Daly LLC,"2200 Century Pkwy NE, Suite 800","Atlanta, Georgia 30345",8,404-636-4900,http://deminglaw.com/
"Demler, Armstrong & Rowland, LLP","4500 East. Pacific Coast Highway, 4th Floor","Long Beach, California 90804",24,562-597-0029,http://www.darlaw.com/
De Mott McChesney Curtright & Armendariz LLP,"8023 Vantage Drive, Suite 800","San Antonio, Texas 78230",5,210-590-1844,http://www.dmcausa.com
"De Mott, McChesney, Curtright, & Armendáriz LLP","8023 Vantage Drive, Suite 800","San Antonio, Texas 78230",,210-590-1844,https://www.dmcausa.com/
Dempsey Law,"10 Forest Avenue, Ste 200","Fond du Lac, Wisconsin 54935",7,920-922-0470,http://dempseylaw.com
"Dempsey, Roberts & Smith, Ltd.",1130 Wigwam Parkway,"Henderson, Nevada 89074",6,702-803-9621,http://www.drsltd.com
Denenberg Tuffley PLLC,"One Northwestern Plaza • 28411 Northwestern Hwy, Suite 600","Southfield, Michigan 48034",16,248-549-3900,http://denenbergtuffley.com
"Deneweth, Vittiglio & Sassak, P.C.","1175 W. Long Lake Road, Suite 202","Troy, Michigan 48098",,248-290-0400,https://www.michiganconstructionlaw.net/
Denlea & Carton LLP,2 Westchester Park Dr #410,"White Plains, New York 10604",,914-331-0100,https://www.denleacarton.com/
Dennis Corry Smith & Dixion LLP,"900 Circle 75 Parkway,
Suite 1400","Atlanta, Georgia 30339",5,404-365-0102,http://www.dcplaw.com/
"Dennis Mediations, LLC",52 North Ridge,"Surf City, North Carolina 28335",,919-805-5002​,https://www.dennismediations.com/
"Denton, Navarro, Rocha, Bernal & Zech, PC",2517 North Main Avenue,"San Antonio, Texas 78212",9,210-227-3243,http://www.rampagelaw.com/
Dentons,"233 South Wacker Drive, Suite 5900","Chicago, Illinois 60606-6361",715,312-876-8000,http://www.dentons.com/en.aspx
Denver Trial Lawyers,"4601 DTC Boulevard,
Suite 950","Denver, Colorado 80237",4,303-647-9990,https://www.denvertriallawyers.com/
Dergosits & Noah LLP,"One Embarcadero Center, Suite 350","San Francisco, California 94111",3,415-705-6377,http://www.dergnoah.com/
Derrevere Stevens Black & Cozad,"2005 Vista Parkway, Suite 210","West Palm Beach, Florida 33411",11,561-684-3222,http://derreverelaw.com
DeSena & Sweeney LLP,1500 Lakeland Avenue,"Bohemia, New York 11716",4,631-360-7333,http://dslawny.com
Desmarais LLP,"230 Park Avenue, 26th Floor","New York, New York 10169",28,212-351-3400,http://desmaraisllp.com
"Detzky, Hunter & DeFillippo, LLC",45 Court Street,"Freehold, New Jersey 07728",,732-780-3090,https://www.detzkylaw.com/
"Deuterman Law Group, PA",3524 Lawndale Drive,"Greensboro, North Carolina 27408",1,866-505-5766,http://deutermanlaw.com
Deutsch Kerrigan LLP,755 Magazine Street,"New Orleans, Louisiana 70130",45,504-581-5141,http://www.deutschkerrigan.com/
Devaney Pate Morris Cameron LLP,"402 W. Broadway
Suite 1300","San Diego, California 92101",6,619-354-5030,http://dpmclaw.com
Devine Millimet & Branch,111 Amherst Street,"Manchester, New Hampshire 03101",21,603-669-1000,http://www.devinemillimet.com
Devitt Spellman Barrett LLP,"90 State Street
Suite 700","Smithtown, New York 12207",8,631-724-8833,http://devittspellmanlaw.com
Dewey Pegno & Kramarsky LLP,777 Third Avenue,"New York, New York 10017",7,(212) 943-9000,http://dpklaw.com
"Dewhirst & Dolven, LLC","600 S. Cherry Street, Suite 530","Denver, Colorado 80246",4,303-757-0003,http://www.dewhirstdolven.com
DeWitt LLP,"Two East Mifflin Street, Suite 600","Madison, Wisconsin 53703",78,608-255-8891,http://www.dewittllp.com/
DeWitt Paruolo Meek,"3540 S Boulevard, Suite 300","Edmond, Oklahoma 73013",9,405-705-3600,http://46legal.com
Dhar Law LLP,"1 Constitution Wharf, Suite 320","Charlestown, Massachusetts 02129",1,617-829-9747,http://dharlawllp.com
Dhillon Law Group Inc,"177 Post Street, Suite 700","San Francisco, California 94108",11,415-433-1700,http://dhillonlaw.com
Diamond Law USA,"1700 East River Road, #65237","Tucson, Arizona 85728",,800-966-5535,https://www.diamondlawusa.com/
Diamond McCarthy LLP,"Two Houston Center, 909 Fannin Street, 37th Floor","Houston, Texas 77010",13,713-333-5100,http://www.diamondmccarthy.com
Diaz Anselmo & Associates PA,499 NW 70th Ave Suite 309,"Plantation, Florida 33317",3,954-564-0071,https://dallegal.com/
Diaz Reus LLP,"Miami Tower at International Place, 100 S.E. Second Street, Suite 3400","Miami, Florida 33131",11,305-375-9220,http://diazreus.com/
"DiCaudo, Pitchford & Yoder","209 South Main Street, 3rd Floor","Akron, Ohio 44308",,330-787-9841,https://www.ohiocriminaldefenselawfirm.com/
DiCello Levitt LLP,"Ten North
Dearborn Street
Sixth Floor","Chicago, Illinois 60602",37,312-214-7900,http://dicellolevitt.com
"Dicke, Billig & Czaja, PLLC","Fifth Street Towers, Suite 2250, 100 South Fifth St.","Minneapolis, Minnesota 55402",11,612-573-2000,http://www.dbc-iplaw.com
